,ID,NAME,DATE,TIME,L,CLASS,LAT,LONG,WIND,PRESS,SEASON,NUM,TIMESTAMP
0,IO062018,UNNAMED,2018-10-08,8000,  , DB,14.2,88.4,20,1007,2018,6,2018-10-08 00:00:00
1,IO062018,UNNAMED,2018-10-08,8000,  , TD,14.2,88.0,25,1005,2018,6,2018-10-08 06:00:00
2,IO062018,UNNAMED,2018-10-08,8100,  , TD,14.3,87.6,30,1002,2018,6,2018-10-08 12:00:00
3,IO062018,UNNAMED,2018-10-08,8100,  , TD,14.4,87.3,30,1000,2018,6,2018-10-08 18:00:00
4,IO062018,UNNAMED,2018-10-09,9000,  , TS,14.6,87.1,35,996,2018,6,2018-10-09 00:00:00
5,IO062018,UNNAMED,2018-10-09,9000,  , TS,14.8,86.9,40,993,2018,6,2018-10-09 06:00:00
6,IO062018,UNNAMED,2018-10-09,9100,  , TS,15.1,86.8,45,997,2018,6,2018-10-09 12:00:00
7,IO062018,UNNAMED,2018-10-09,9100,  , TS,15.6,86.6,50,985,2018,6,2018-10-09 18:00:00
9,IO062018,UNNAMED,2018-10-10,0000,  , TY,16.1,86.2,65,974,2018,6,2018-10-10 00:00:00
12,IO062018,UNNAMED,2018-10-10,0000,  , TY,16.9,85.7,75,976,2018,6,2018-10-10 06:00:00
15,IO062018,UNNAMED,2018-10-10,0100,  , TY,17.6,85.3,90,956,2018,6,2018-10-10 12:00:00
18,IO062018,UNNAMED,2018-10-10,0100,  , TY,18.3,84.8,105,944,2018,6,2018-10-10 18:00:00
21,IO062018,UNNAMED,2018-10-11,1000,  , TY,18.7,84.3,100,948,2018,6,2018-10-11 00:00:00
24,IO062018,UNNAMED,2018-10-11,1000,  , TY,19.0,83.9,80,963,2018,6,2018-10-11 06:00:00
27,IO062018,UNNAMED,2018-10-11,1100,  , TY,19.5,83.8,65,974,2018,6,2018-10-11 12:00:00
30,IO062018,UNNAMED,2018-10-11,1100,  , TS,19.9,84.1,55,982,2018,6,2018-10-11 18:00:00
31,IO062018,UNNAMED,2018-10-12,2000,  , TS,20.6,84.7,40,993,2018,6,2018-10-12 00:00:00
32,IO062018,UNNAMED,2018-10-12,2000,  , TD,21.3,85.5,30,1000,2018,6,2018-10-12 06:00:00
0,IO052011,UNNAMED,2011-11-25,5100,  , TD,6.0,78.1,25,1004,2011,5,2011-11-25 12:00:00
1,IO052011,UNNAMED,2011-11-25,5100,  , TD,6.8,77.2,30,1000,2011,5,2011-11-25 18:00:00
2,IO052011,UNNAMED,2011-11-26,6000,  , TD,7.6,76.4,30,1000,2011,5,2011-11-26 00:00:00
3,IO052011,UNNAMED,2011-11-26,6000,  , TD,8.3,75.7,30,1000,2011,5,2011-11-26 06:00:00
4,IO052011,UNNAMED,2011-11-26,6100,  , TD,8.9,74.8,30,1000,2011,5,2011-11-26 12:00:00
5,IO052011,UNNAMED,2011-11-26,6100,  , TD,9.6,74.0,30,1000,2011,5,2011-11-26 18:00:00
6,IO052011,UNNAMED,2011-11-27,7000,  , TD,10.4,73.2,30,1000,2011,5,2011-11-27 00:00:00
7,IO052011,UNNAMED,2011-11-27,7000,  , TD,11.3,72.3,30,1000,2011,5,2011-11-27 06:00:00
8,IO052011,UNNAMED,2011-11-27,7100,  , TD,12.2,71.4,30,1000,2011,5,2011-11-27 12:00:00
9,IO052011,UNNAMED,2011-11-27,7100,  , TD,13.0,70.4,30,1000,2011,5,2011-11-27 18:00:00
10,IO052011,UNNAMED,2011-11-28,8000,  , TD,13.8,69.5,30,1000,2011,5,2011-11-28 00:00:00
11,IO052011,UNNAMED,2011-11-28,8000,  , TS,14.6,68.7,35,996,2011,5,2011-11-28 06:00:00
12,IO052011,UNNAMED,2011-11-28,8100,  , TS,15.1,68.1,35,996,2011,5,2011-11-28 12:00:00
13,IO052011,UNNAMED,2011-11-28,8100,  , TS,15.5,67.6,35,996,2011,5,2011-11-28 18:00:00
14,IO052011,UNNAMED,2011-11-29,9000,  , TD,15.6,67.1,30,1000,2011,5,2011-11-29 00:00:00
15,IO052011,UNNAMED,2011-11-29,9000,  , TD,15.7,66.6,30,1000,2011,5,2011-11-29 06:00:00
16,IO052011,UNNAMED,2011-11-29,9100,  , TD,16.5,66.1,30,1000,2011,5,2011-11-29 12:00:00
17,IO052011,UNNAMED,2011-11-29,9100,  , TD,16.9,65.3,25,1004,2011,5,2011-11-29 18:00:00
18,IO052011,UNNAMED,2011-11-30,0000,  , TD,17.1,64.5,25,1004,2011,5,2011-11-30 00:00:00
19,IO052011,UNNAMED,2011-11-30,0000,  , TD,17.8,63.9,25,1004,2011,5,2011-11-30 06:00:00
20,IO052011,UNNAMED,2011-11-30,0100,  , TD,18.8,63.3,25,1004,2011,5,2011-11-30 12:00:00
21,IO052011,UNNAMED,2011-11-30,0100,  , TD,18.9,62.9,25,1004,2011,5,2011-11-30 18:00:00
22,IO052011,UNNAMED,2011-12-01,1000,  , TD,19.1,62.6,25,1004,2011,5,2011-12-01 00:00:00
23,IO052011,UNNAMED,2011-12-01,1000,  , DB,19.4,62.3,20,1007,2011,5,2011-12-01 06:00:00
0,IO052014,UNNAMED,2014-11-05,5000,  , DB,12.8,87.8,20,1007,2014,5,2014-11-05 00:00:00
1,IO052014,UNNAMED,2014-11-05,5000,  , DB,13.0,87.6,20,1007,2014,5,2014-11-05 06:00:00
2,IO052014,UNNAMED,2014-11-05,5100,  , TD,13.3,87.4,25,1004,2014,5,2014-11-05 12:00:00
3,IO052014,UNNAMED,2014-11-05,5100,  , TD,13.5,87.2,30,1000,2014,5,2014-11-05 18:00:00
4,IO052014,UNNAMED,2014-11-06,6000,  , TS,13.8,87.0,35,996,2014,5,2014-11-06 00:00:00
5,IO052014,UNNAMED,2014-11-06,6000,  , TD,13.4,87.8,30,1000,2014,5,2014-11-06 06:00:00
6,IO052014,UNNAMED,2014-11-06,6100,  , TD,13.3,88.2,25,1004,2014,5,2014-11-06 12:00:00
7,IO052014,UNNAMED,2014-11-06,6100,  , TD,13.4,88.3,25,1004,2014,5,2014-11-06 18:00:00
8,IO052014,UNNAMED,2014-11-07,7000,  , TD,13.8,88.2,25,1004,2014,5,2014-11-07 00:00:00
9,IO052014,UNNAMED,2014-11-07,7000,  , TD,14.2,87.7,25,1004,2014,5,2014-11-07 06:00:00
10,IO052014,UNNAMED,2014-11-07,7100,  , TD,14.2,87.2,25,1004,2014,5,2014-11-07 12:00:00
11,IO052014,UNNAMED,2014-11-07,7100,  , TD,14.3,86.7,25,1004,2014,5,2014-11-07 18:00:00
12,IO052014,UNNAMED,2014-11-08,8000,  , DB,14.5,85.8,20,1007,2014,5,2014-11-08 00:00:00
13,IO052014,UNNAMED,2014-11-08,8000,  , DB,14.3,85.1,20,1007,2014,5,2014-11-08 06:00:00
14,IO052014,UNNAMED,2014-11-08,8100,  , DB,14.0,84.2,20,1007,2014,5,2014-11-08 12:00:00
15,IO052014,UNNAMED,2014-11-08,8100,  , DB,14.1,83.3,20,1007,2014,5,2014-11-08 18:00:00
16,IO052014,UNNAMED,2014-11-09,9000,  , DB,14.5,82.7,20,1007,2014,5,2014-11-09 00:00:00
17,IO052014,UNNAMED,2014-11-09,9000,  , DB,14.9,82.2,20,1007,2014,5,2014-11-09 06:00:00
0,IO022015,UNNAMED,2015-07-28,8000,  , MD,20.7,90.8,25,996,2015,2,2015-07-28 06:00:00
1,IO022015,UNNAMED,2015-07-28,8100,  , MD,21.0,90.8,30,1000,2015,2,2015-07-28 12:00:00
2,IO022015,UNNAMED,2015-07-28,8100,  , MD,21.1,91.0,30,1000,2015,2,2015-07-28 15:00:00
3,IO022015,UNNAMED,2015-07-28,8100,  , MD,21.0,91.1,30,995,2015,2,2015-07-28 18:00:00
4,IO022015,UNNAMED,2015-07-29,9000,  , MD,20.9,91.2,35,996,2015,2,2015-07-29 00:00:00
5,IO022015,UNNAMED,2015-07-29,9000,  , MD,21.0,91.2,35,996,2015,2,2015-07-29 06:00:00
6,IO022015,UNNAMED,2015-07-29,9100,  , MD,21.2,91.2,40,993,2015,2,2015-07-29 12:00:00
7,IO022015,UNNAMED,2015-07-29,9100,  , MD,21.4,91.3,40,993,2015,2,2015-07-29 18:00:00
8,IO022015,UNNAMED,2015-07-30,0000,  , MD,21.6,91.5,45,989,2015,2,2015-07-30 00:00:00
9,IO022015,UNNAMED,2015-07-30,0000,  , MD,21.9,91.6,45,989,2015,2,2015-07-30 06:00:00
10,IO022015,UNNAMED,2015-07-30,0100,  , MD,22.1,91.5,40,993,2015,2,2015-07-30 12:00:00
11,IO022015,UNNAMED,2015-07-30,0100,  , MD,22.6,91.4,35,996,2015,2,2015-07-30 18:00:00
12,IO022015,UNNAMED,2015-07-31,1000,  , MD,23.0,90.9,30,1000,2015,2,2015-07-31 00:00:00
0,IO062007,UNNAMED,2007-11-10,0000,  , DB,9.6,93.2,15,1010,2007,6,2007-11-10 06:00:00
1,IO062007,UNNAMED,2007-11-10,0100,  , DB,9.7,93.0,20,1005,2007,6,2007-11-10 12:00:00
2,IO062007,UNNAMED,2007-11-10,0100,  , TD,9.8,92.7,25,1004,2007,6,2007-11-10 18:00:00
3,IO062007,UNNAMED,2007-11-11,1000,  , TD,10.0,92.5,30,1000,2007,6,2007-11-11 00:00:00
4,IO062007,UNNAMED,2007-11-11,1000,  , TS,10.1,92.2,35,998,2007,6,2007-11-11 06:00:00
5,IO062007,UNNAMED,2007-11-11,1100,  , TS,10.2,91.9,45,989,2007,6,2007-11-11 12:00:00
6,IO062007,UNNAMED,2007-11-11,1100,  , TS,10.3,91.4,50,985,2007,6,2007-11-11 18:00:00
8,IO062007,UNNAMED,2007-11-12,2000,  , TS,10.4,90.8,60,978,2007,6,2007-11-12 00:00:00
10,IO062007,UNNAMED,2007-11-12,2000,  , TY,10.7,90.4,70,970,2007,6,2007-11-12 06:00:00
